p,alga,lv,lv_s,lv_v,nonlv,mult,cits
Senior Data Engineer,4750,,,,x,,
Senior DevOps Engineer,5500,,,,x,,
Senior DevOps Engineer R&D,5650,,,,x,,
Senior Facebook (Meta) Marketer,2750,,,,x,,
Senior Finance Controller,3000,,,,x,,
Senior Financial Reporting Specialist,2800,,,,x,,
Senior Full Stack Developer,3637,,,,x,,
Senior Full Stack Developer (R&D team),3950,,,,x,,
Senior Full-stack developer,4250,,,,x,,
Senior Full-stack developer,4250,,,,x,,
Senior Global Process Accountant,1825,,,,x,,
Senior Golang Developer,4250,,,,x,,
Senior Golang Developer,4250,,,,x,,
Senior IT Business Analyst,3850,,,,x,,
Senior IT Business Analyst,3850,,,,x,,
Senior IT Project Manager,3750,,,,x,,
Senior IT Specialist,3250,,,,x,,
Senior IT Specialist,3250,,,,x,,
Senior Java Developer,3637,,,,x,,
Senior JavaScript Developer-Software Engineer,4250,,,,x,,
Senior JavaScript Developer-Software Engineer,4250,,,,x,,
Senior Lawyer,3750,,,,x,,
Senior Lawyer,3500,,,,x,,
Senior Lawyer,3750,,,,x,,
Senior Lawyer,3500,,,,x,,
Senior Node.js Developer,4250,,,,x,,
Senior Node.js Developer,4250,,,,x,,
Senior PHP Developer (Trevolution),3500,,,,x,,
Senior PHP Developer-Software Engineer,4250,,,,x,,
Senior PHP Developer-Software Engineer,4250,,,,x,,
Senior Product Designer,3000,,,,x,,
Senior Product Designer,3000,,,,x,,
Senior QA Automation Engineer/Vecākais QA Automatizācijas Inženieris,5000,,,,x,,
Senior Quality Assurance AML Analyst,3150,,,,x,,
Senior Risk Analyst,2900,,,,x,,
Senior Risk Framework Analyst,3550,,,,x,,
"Senior Scala Developer, Cruise Company",4875,,,,x,,
Senior Site Reliability Engineer / DevOps,4500,,,,x,,
Senior Software Development Engineer,6595,,,,x,,
Senior Software Engineer (PHP),4000,,,,x,,
Senior Software Engineer (PHP),4000,,,,x,,
"Senior Software Engineer, Tietoevry Banking",3700,,,,x,,
Senior Software engineer (Ruby on Rails),6500,,,,x,,
Senior Treasury Specialist,3650,,,,x,,
Senior VIP Manager,3500,,,,x,,
Senior Vue.js Developer,3850,,,,x,,
Senior Web Developer,3300,,,,x,,
Senior Webmaster,2800,,,,x,,
Senior specialist in International Payment investigation Team,1900,,,,x,,
Senior specialist in International Payment investigation Team,1900,,,,x,,
Service Line Administrator (temporary position),1500,,,,x,,
ServiceDesk (2. līmeņa) speciālists,1600,,,x,,,
Servisa mehāniķis Kurzemes reģionā,2000,,,x,,,
SharePoint Developer,3500,,,,x,,
Shuffler,160,,,,x,,
Siltumenerģētiķis (Jēkabpilī),2750,,,x,,,
Siltumenerģētiķis (Jēkabpilī),2750,,,x,,,
Skaņas inženieris/ skaņotājs,1700,,,x,,,
Smart Card programmer / C-Family programmer,3000,,,,x,,
Social Media Ads Specialist / Social Media Marketing Manager,2050,,,,x,,
Social Media Ads Specialist / Social Media Marketing Manager,2050,,,,x,,
Social Media Ads Specialist / Social Media Marketing Manager,2050,,,,x,,
Social Media Advertising Manager B2C,2250,,,,x,,
Social Media Marketing Manager,2150,,,,x,,
Social Media Marketing Manager,2150,,,,x,,
Social media manager,1650,,,,x,,
Sociālās aprūpes un sociālās rehabilitācijas nodaļas vadītājs,1701,,,x,,,
Software Developer,2400,,,,x,,
Software Developer,3450,,,,x,,
Software Development Engineer,4850,,,,x,,
Software Development Engineer in Test,5125,,,,x,,
Software Development Engineer in Test,5125,,,,x,,
Software Engineer,3000,,,,x,,
Software Engineer (Maintenance Engineer)  - Non Life Insurance,3150,,,,x,,
Software Engineering Generative AI Empowerment Lead,4000,,,,x,,
Software Engineering Generative AI Solutions Architect,4000,,,,x,,
Software Licencing and Billing Specialist,2350,,,,x,,
Software test automation engineer,2537,,,,x,,
Software test automation engineer,2537,,,,x,,
Solution Expert,3150,,,,x,,
Solution and Integration Engineer,6250,,,,x,,
Specialist Finance in Accounts Receivable and Collections team,1600,,,,x,,
Specialist Finance in Accounts Receivable team,1550,,,,x,,
Specialist Finance in Billing Cards Invoicing Team,1550,,,,x,,
Specialist Finance with German language skills in Accounts Receivable Team,1900,,,,x,,
"Speciālists darbam ar kosmētiku Apotheka Health & Beauty Lidostā ""Rīga""",1400,,,x,,,
Sponsorship Activation Manager,2750,,,,x,,
Sporta redakcijas sociālo tīklu redaktors,1600,,,x,,,
Sr. Genesys Developer,2900,,,,x,,
Starptautiskās tirdzniecības menedžeris,2550,,,x,,,
Stateroom stewardess on river cruise ships,2000,,,,x,,
Strategy and Transactions Consultant,970,,,,x,,
Stratēģikās plānošanas un finanšu nodaļas vecākais referents,1805,,,x,,,
Strādnieks ēkas apsaimniekošanas nodaļā / Trades Helper,1141,,,x,,,
Study abroad manager,1900,,,,x,,
Supply Chain Specialist,1800,,,,x,,
Support & Moderation Team Leader,2000,,,,x,,
Support Specialist,2050,,,,x,,
Support and moderation specialist,1000,,,,x,,
Sustainability Risk Manager,4550,,,,x,,
Swedish Speaking Customer Consultant,1650,,,,x,,
Swedish Speaking Customer Support Specialist,1250,,,,x,,
Tax Manager,8000,,,,x,,
Tax Manager,8000,,,,x,,
"Team Lead, Engineering",4200,,,,x,,
Team Leader,2500,,,,x,,
Team Manager,2000,,,,x,,
Team Manager,2000,,,,x,,
Team Manager ( Night Shift ),720,,,,x,,
Team Manager (m/f/d),1600,,,,x,,
"Tech Lead with passion for digital transformation | SEB, Riga",4550,,,,x,,
Technical Analysts in Portal Integrations,3750,,,,x,,
Technical Integration Manager,2400,,,,x,,
Technical QA Lead,4500,,,,x,,
Technical SEO and tracking specialist,2552,,,,x,,
Technical Sales Specialist,2500,,,,x,,
"Technical Support Engineer (L2) (on-site / remote job opportunity, Gambling industry)",3500,,,,x,,
Technical Support Specialist (night shifts),1400,,,,x,,
Technical Support Specialist (night shifts),1400,,,,x,,
Technical Writer,3480,,,,x,,
Technical specialist,1325,,,,x,,
Technical support engineer (payment acquiring),2500,,,,x,,
Tehniskais inženieris (Vangažos),2600,,,x,,,
Tehniskais inženieris (Vangažos),2600,,,x,,,
Tehniskais ražošanas asistents,1700,,,x,,,
Tehniskais tulks – (uz noteiktu laiku),3300,,,x,,,
Tehnisko projektu vadītājs (2 vakances),2000,,,x,,,
"Tehnisko sistēmu nodrošinājuma, drošības un transporta daļas vadītājs",2470,,,x,,,
Tehniskā atbalsta daļas vadītājs,2545,,,x,,,
Tehniskās daļas speciālists,1550,,,x,,,
Tehnoloģisko risinājumu departamenta direktors,2700,,,x,,,
Tele2 centra līderis t/c Dole Rīgā,1550,,,x,,,
Tele2 pārdošanas speciālists t/c Akropole Rīgā,1300,,,x,,,
Tele2 pārdošanas speciālists t/c Dauga Ogrē ( uz noteiktu laiku),1175,,,x,,,
Tele2 pārdošanas speciālists t/c Maxima Slokas ielā,1150,,,x,,,
Tele2 pārdošanas speciālists t/c Origo Rīgā,1300,,,x,,,
Tele2 pārdošanas speciālists t/c Tobago Ventspilī,1175,,,x,,,
Tele2 pārdošanas speciālits t/c Dole Rīgā,1150,,,x,,,
Test (Automation) Engineer,3000,,,,x,,
Test Automation Architect,5250,,,,x,,
Test Automation Engineer,4550,,,,x,,
Test Engineer,3100,,,,x,,
Test Engineer,3100,,,,x,,
"Test Engineer, Tietoevry Banking",3800,,,,x,,
"Test Engineer, Tietoevry Banking",3800,,,,x,,
Test Lead (On-site),3750,,,,x,,
Third Party Risk & Compliance Manager,3270,,,,x,,
Tiesu administrācija Grāmatvedis (uz nenoteiktu laiku),1354,,,x,,,
Tiesībsarga biroja Diskriminācijas novēršanas nodaļas sociologs/ socioloģe,1967,x,,,,,
Tirdzniecības pārstāvis (Jelgava),1400,,,x,,,
Tirdzniecības pārstāvis Zemgalē,1900,,,x,,,
Tirdzniecības pārstāvis Zemgalē,1900,,,x,,,
Tirdzniecības veicinātājs (Merčendaizers),1127,,,x,,,
"Trade Reporting Specialist for a data-driven culture | SEB, Riga",1800,,,,x,,
Training Coordinator,1650,,,,x,,
Transaction Monitoring Analyst,1950,,,,x,,
Transaction Processing SPECIALIST,1150,,,,x,,
Transporta būvju uzturēšanas nodaļas CEĻU BŪVINŽENIERIS,2099,,,x,,,
Transportation Specialist,1700,,,,x,,
Transportlīdzekļu reģistrators (Rīgā),320,,,x,,,
Transportlīdzekļu vadītāju eksaminācijas inspektors (Daugavpilī),320,,,x,,,
Transportlīdzekļu vadītāju kvalifikācijas inspektors,240,,,x,,,
Travel Consultant,1300,,,,x,,
Tulkošanas projektu vadītājs,1300,,,x,,,
UX Copywriter,2500,,,,x,,
UX Researcher,2500,,,,x,,
Ugunsdrošības un civilās aizsardzības inženieris,2200,,,x,,,
Utility on river cruises/kitchen staff,2477,,,,x,,
Uzkopšanas darbu meistars,1315,,,x,,,
Uzkopšanas darbu meistars,1315,,,x,,,
Uzkopšanas darbu vadītājs,1500,,,x,,,
Uzkopšanas darbu vadītājs,1700,,,x,,,
Uzņēmumu reģistra un maksātnespējas politikas nodaļas POLITIKAS PLĀNOŠANAS EKSPERTS,1800,,,x,,,
VECĀKAIS PROJEKTA VADĪTĀJS Attīstības un stratēģiskās plānošanas daļā,2500,,,x,,,
VIRSMĀSAS VIETNIEKS 39.Sirds ķirurģijas anestezioloģijas un intensīvās terapijas nodaļā,1945,,,x,,,
VIRSMĀSAS VIETNIEKS 39.Sirds ķirurģijas anestezioloģijas un intensīvās terapijas nodaļā,1945,,,x,,,
VMware/Veeam Engineer,4000,,,,x,,
Vecākais būvinženieris - projektu vadītājs,2850,,,x,,,
Vecākais eksperts (JD IPVNĪPPN),1941,,,x,,,
Vecākais eksperts veselības aprūpes jomā,1575,,,x,,,
Vecākais eksperts veselības aprūpes jomā,1575,,,x,,,
Vecākais iepirkumu speciālists Centralizēto iepirkumu vadības departamentā,1875,,,x,,,
Vecākais kvalitātes vadības speciālists,2000,,,x,,,
Vecākais loģistikas speciālists Noliktavu pārvaldības departamenta Centrālo noliktavu nodaļā,1425,,,x,,,
Vecākais loģistikas speciālists Noliktavu pārvaldības departamenta Centrālo noliktavu nodaļā,1425,,,x,,,
Vecākais noliktavas pārzinis,1400,,,x,,,
Vecākais pakomātu projektu vadītājs,2300,,,x,,,
Vecākais projekta vadītājs,1800,,,x,,,
Vecākais pārdošanas atbalsta administrators,1818,,,x,,,
Vecākais referents Loģistikas plānošanas departamenta Kvalitātes kontroles un procesu vadības nodaļā,1650,,,x,,,
Vecākais referents Tirgus analīzes un nodrošinājuma plānošanas nodaļā,1650,,,x,,,
Vecākais zinātniskās darbības eksperts,1176,,,x,,,
Vecākā eksperta amats,1600,,,x,,,
"Veikala vadītājs Rīgā, T/C Venta",1325,,,x,,,
"Veikala vadītājs Rīgā, T/C Venta",1325,,,x,,,
Ventilācijas sistēmu un cauruļvadu uzstādītāji,4500,,,x,,,
Ventilācijas un kondicionēšanas sistēmu tehniķis,1575,,,x,,,
Veselības centra vadītājs,2100,,,x,,,
Veselības centra vadītājs,2100,,,x,,,
"Veselības, ceļojumu un nelaimes gadījumu atlīdzību nodaļas eksperts (uz noteiktu laiku)",1569,,,x,,,
"Veselības, ceļojumu un nelaimes gadījumu atlīdzību nodaļas eksperts (uz noteiktu laiku)",1569,,,x,,,
Video Editor,1400,,,,x,,
Video Specialist,1000,,,,x,,
Video Specialist,1000,,,,x,,
Vides aizsardzības vecākais speciālists,1700,,,x,,,
Vides aizsardzības vecākais speciālists,1700,,,x,,,
Viesmīlības pakalpojumu speciālists,280,,,x,,,
Viesmīlības pakalpojumu speciālists,280,,,x,,,
Virsmāsa Neiroloģijas klīnikas 20. Neiroloģijas nodaļā,2045,,x,,,,
Virsmāsas vietnieks 20. Neiroloģijas nodaļā,1945,,,x,,,
Vispārējās aprūpes māsa,1315,,x,,,,
Volkswagen and Audi Customer Experience Manager,3000,,,,x,,
Vājstrāvu sistēmu projektu vadītājs,2650,,,x,,,
Vājstrāvu sistēmu projektētājs,2100,,,x,,,
Vājstrāvu sistēmu tehniķis,1955,,,x,,,
Vājstrāvu tehniķis (Ugunsdrošības un drošības sistēmas),1600,,,x,,,
Warehouse Specialist,1950,,,,x,,
Warehouse Specialist (Noliktavas Speciālists),1300,,,,x,,
Wordpress Developer,5000,,,,x,,
Workforce Specialist (m/f/d),2100,,,,x,,
"YouTube host who speaks either English, Spanish, Russian, French, or German",8000,,,,x,,
Zemgales rajona tiesas (Jēkabpilī) arhivāra amats  (uz nenoteiktu laiku),1062,x,,,,,
Zemgales rajona tiesas (Jēkabpilī) arhivāra amats  (uz nenoteiktu laiku),1062,x,,,,,
būvdarbu vadītājs ( ceļu būves joma),2500,,,x,,,
būvdarbu vadītājs ( ceļu būves joma),2500,,,x,,,
grāmatveža palīgs - lietvedis,1750,,,x,,,
iOS Developer in Mobile Team,3600,,,,x,,
ĀRSTS - Internists 6. HIV/AIDS nodaļā,440,,,x,,,
ĀRSTS - Internists vai Infektologs,1821,,,x,,,
Āra teritorijas uzturēšanas darbinieks - dārznieks / Gardener,1036,,,x,,,
Ārstniecības iestādes klientu un pacientu reģistrators,840,,,x,,,
Īpašo klientu tirdzniecības speciālists,2259,,,x,,,
ĶĪMIĶIS ANALĪTIKAS LABORATORIJĀ,1400,,,x,,,
Šoferis mēbeļu piegādei un uznešanai,1750,,,x,,,
Ūdensapgādes un kanalizācijas sistēmu inženieris,1900,,,x,,,
Žogu un vārtu montieri,1400,,,x,,,
Администратор офиса / Секретарь,1500,,,,x,,
Менеджер по обучению за рубежом,1900,,,,x,,
Менеджер по продажам,1600,,,,x,,
🚀 Pievienojies mūsu komandai kā Vecākais SEO Speciālists! 🚀,3000,,,x,,,
